group,names,scores,logfoldchanges,pvals,pvals_adj
1,MANBA,27.013939,1.5310622,1.0137676929669351e-160,4.397473657829382e-158
1,TPD52,27.009855,1.3295443,1.1321377318016939e-160,4.856367697104022e-158
1,MICAL3,26.770782,1.3841763,7.0748009535660026e-158,2.8750501643512532e-155
1,BANK1,26.604298,2.260685,6.05372900203755e-156,2.3607097156834512e-153
1,NSD3,26.598288,1.0307432,7.104819571676249e-156,2.7428866438413323e-153
1,AGPAT5,26.524687,1.8111577,5.0324588588957015e-155,1.9047363402600732e-152
1,SWAP70,26.399076,1.493265,1.404031145508979e-153,5.211925615723043e-151
1,GNG7,26.368145,1.4046986,3.1790926547827647e-153,1.1578495380239945e-150
1,RPL18A,26.359587,0.5381698,3.985058914505518e-153,1.4378241537700936e-150
1,TCF4,26.314013,1.7047164,1.3257341710187786e-152,4.7390086487362007e-150
1,CD83,26.253424,1.7681748,6.5322611970267835e-152,2.313619043783633e-149
1,KDM4B,26.21411,1.252502,1.834972908954058e-151,6.44008764755276e-149
1,ST6GAL1,26.147055,1.4336593,1.0645335955149908e-150,3.702467025986643e-148
1,RAB30,25.966293,1.2728826,1.1904522230798326e-148,4.031456010896493e-146
1,SLC38A1,25.95697,0.88653344,1.5169923139635863e-148,5.092609154163323e-146
1,CDK14,25.953482,1.4706745,1.660965246466339e-148,5.52786416423099e-146
1,HDAC9,25.540104,1.6406827,7.072618948450976e-144,2.2753793926991528e-141
1,USP12,25.504665,1.1474339,1.7498193731323637e-143,5.537174321241642e-141
1,ARHGAP24,25.28178,1.6612818,5.067542109435271e-141,1.552678814895699e-138
1,EIF1B,25.277872,1.1981177,5.59454713928557e-141,1.7006542272382575e-138
1,SP100,25.165142,0.892943,9.64925128857567e-140,2.8877441491996303e-137
1,PMEPA1,25.05668,1.3241632,1.4763573055451587e-138,4.253451502826597e-136
2,IL7R,40.782112,3.9272432,0.0,0.0
2,SYTL3,39.91902,2.8238142,0.0,0.0
2,TNFAIP3,38.780544,2.5256164,0.0,0.0
2,PTGER4,38.32062,2.4622269,0.0,0.0
2,PRKCA,38.271267,2.496651,0.0,0.0
2,PABPC1,37.790054,0.82469416,0.0,0.0
2,FYN,37.701973,2.3896158,0.0,0.0
2,CD6,37.63173,2.4189801,6.51129775335667e-310,3.142189513326097e-306
2,TPT1,37.32769,0.70241356,5.835903368035491e-305,2.253008854263782e-301
2,BCL11B,37.178314,2.7059195,1.5295005715493842e-302,5.36799082411232e-299
2,CAMK4,37.1353,2.6839652,7.571751820831863e-302,2.435958756625291e-298
2,NDFIP1,36.564415,2.1712193,1.0523350087747981e-292,2.901888953482847e-289
2,SRGN,36.513195,2.0447137,6.847368567251419e-292,1.7623300727153884e-288
2,CD3E,36.477623,2.38986,2.51047210231561e-291,6.057455373874777e-288
2,PITPNC1,35.911335,2.2680159,2.032844440333843e-282,4.13052591913307e-279
2,RBMS1,35.896603,2.1383767,3.451290419764687e-282,6.6620258972717765e-279
2,ARL4C,35.785084,2.3873138,1.8845280851454464e-280,3.4644805359583383e-277
2,CRYBG1,35.69851,2.2018857,4.1694122261729476e-279,7.31656038198331e-276
2,FAM177A1,35.48076,1.9812765,9.735925939591544e-276,1.5034606272954846e-272
2,FYB1,34.908077,2.503163,5.60659764522069e-267,7.214943623046331e-264
2,CD247,34.867138,2.3335216,2.3415872386444853e-266,2.916106997906742e-263
2,ANK3,34.482468,2.2896693,1.4692305136925017e-260,1.718821612473113e-257
2,RPS14,34.475796,0.75329775,1.849715990909622e-260,2.1002981042663785e-257
2,CD3D,34.137314,2.1776423,2.0626740019636145e-255,2.095568224205455e-252
2,INPP4B,33.920467,2.3794672,3.325730736717451e-252,3.2098290205428484e-249
2,STAT4,33.749367,2.4097035,1.0922546213026452e-249,9.583541343184072e-247
2,PDE3B,33.733852,2.4031584,1.8443194290921812e-249,1.5822621306562835e-246
2,RORA,33.654873,2.2470925,2.645851059748587e-248,2.220559261144651e-245
2,LEPROTL1,33.6497,1.9601175,3.1494129745163062e-248,2.5869412190250322e-245
2,RPS15A,33.52814,0.66693527,1.8751555032549623e-246,1.4773929256869607e-243
2,TOB1,33.416656,1.8289517,7.855179512329771e-245,5.9462168677059445e-242
2,AAK1,33.389103,2.0656672,1.9734538862456967e-244,1.4651377063923339e-241
2,TCF7,32.924225,1.9752915,9.894675382024393e-238,6.945342505426068e-235
2,RPS3,32.86307,0.6702147,7.410625650233731e-237,5.108832390230775e-234
2,CD96,32.734062,2.257418,5.118966483768723e-235,3.40729000124785e-232
2,OXNAD1,32.45141,2.0422661,5.174072564925145e-231,3.2217781522822604e-228
2,PLCL1,32.14797,2.5676877,9.429055119569743e-227,5.433105999195664e-224
2,TMSB10,32.132053,0.9327988,1.5733080678554145e-226,8.932225186415607e-224
2,CNOT6L,32.122234,1.6517553,2.157599389064289e-226,1.2071924929596513e-223
2,SARAF,32.072258,1.0329762,1.0746446191123792e-225,5.926818595064645e-223
2,EIF1,32.025627,0.73047054,4.796725417246365e-225,2.6082025557494815e-222
2,JMY,32.00104,1.8029175,1.0546079941706784e-224,5.654749475410167e-222
2,LEF1,31.943491,2.1142404,6.652658097975817e-224,3.470709709871005e-221
2,PBX4,31.904844,1.8775975,2.2873671726685907e-223,1.161922329842679e-220
2,CD28,31.809494,2.2744775,4.784508236999204e-222,2.3988405843843024e-219
2,SERINC5,31.74536,1.800301,3.6798899588976297e-221,1.7758228969150238e-218
2,LDHB,31.46316,1.4163177,2.773656996978891e-217,1.3058512442117934e-214
2,TRAT1,31.199797,2.5011227,1.0722195855762026e-213,4.927870157232724e-211
2,CD7,31.18943,2.1378088,1.4821198505072596e-213,6.7316139939627365e-211
2,TESPA1,30.867992,2.285975,3.2132162808533327e-209,1.4424352062630672e-206
2,RPS3A,30.774384,0.5791802,5.771079299849579e-208,2.531798721022646e-205
2,TNIK,30.758837,1.9516201,9.315241431491034e-208,4.040721468585875e-205
2,RPL30,30.701029,0.5648484,5.5145187769671485e-207,2.365483465595486e-204
2,CHD2,30.667315,1.0572089,1.5532991904827754e-206,6.589743796459124e-204
2,ESYT2,30.590082,1.3507065,1.6583530576157393e-205,6.958954145903612e-203
2,PRKCH,30.549433,1.9216605,5.7534955920672795e-205,2.388381191691929e-202
2,RPL14,30.444614,0.63907975,1.4116199200589095e-203,5.676770691020236e-201
2,IL6ST,30.35216,1.4706774,2.352877951030464e-202,9.268898589538988e-200
2,PPP2R5C,30.219275,1.2302095,1.3223372669370947e-200,5.1050152527373476e-198
2,CD2,30.198689,2.031431,2.4643155050720715e-200,9.419541028595287e-198
